transaction_id,company_id,trade_date,transaction_type,quantity,price,asset_class
1,5,2024-01-02,BUY,928,306.03,Equity
2,11,2024-01-02,BUY,4521,119.88,ETF
3,14,2024-01-02,SELL,4018,109.75,Commodity
4,6,2024-01-02,SELL,1932,275.89,Equity
5,9,2024-01-02,SELL,2560,194.24,Equity
6,5,2024-01-02,SELL,4483,305.58,Equity
7,8,2024-01-02,BUY,2218,71.68,Equity
8,4,2024-01-02,SELL,3377,122.73,Equity
9,14,2024-01-02,BUY,3926,109.8,Commodity
10,6,2024-01-02,SELL,149,275.3,Equity
11,15,2024-01-02,SELL,4467,274.7,Currency
12,8,2024-01-02,SELL,326,71.36,Equity
13,12,2024-01-02,SELL,3817,221.22,Bond
14,10,2024-01-02,BUY,1552,49.47,Equity
15,13,2024-01-02,BUY,788,48.44,Commodity
16,2,2024-01-02,BUY,2980,49.36,Equity
17,12,2024-01-02,BUY,2326,220.19,Bond
18,4,2024-01-02,BUY,3080,122.5,Equity
19,10,2024-01-02,SELL,2177,49.44,Equity
20,1,2024-01-02,BUY,2569,271.31,Equity
21,2,2024-01-02,BUY,1720,49.16,Equity
22,1,2024-01-02,SELL,1372,272.25,Equity
23,13,2024-01-02,SELL,456,48.45,Commodity
24,4,2024-01-02,BUY,3186,122.55,Equity
25,3,2024-01-02,SELL,3275,135.99,Equity
26,4,2024-01-02,BUY,968,122.28,Equity
27,5,2024-01-02,BUY,4513,307.23,Equity
28,4,2024-01-02,BUY,73,122.05,Equity
29,2,2024-01-02,SELL,1001,49.24,Equity
30,10,2024-01-02,SELL,2602,49.57,Equity
31,1,2024-01-03,SELL,912,278.1,Equity
32,11,2024-01-03,SELL,246,119.48,ETF
33,10,2024-01-03,BUY,56,49.82,Equity
34,13,2024-01-03,SELL,3393,48.49,Commodity
35,13,2024-01-03,BUY,2943,48.31,Commodity
36,7,2024-01-03,BUY,2998,360.75,Equity
37,2,2024-01-03,SELL,3550,47.71,Equity
38,3,2024-01-03,SELL,906,134.22,Equity
39,1,2024-01-03,BUY,1531,278.44,Equity
40,9,2024-01-03,SELL,3933,190.6,Equity
41,1,2024-01-03,SELL,3403,277.64,Equity
42,7,2024-01-03,BUY,1390,360.1,Equity
43,3,2024-01-03,BUY,3010,134.74,Equity
44,8,2024-01-03,SELL,2365,72.8,Equity
45,5,2024-01-03,BUY,3018,306.29,Equity
46,8,2024-01-03,SELL,1579,72.83,Equity
47,12,2024-01-03,SELL,4050,221.35,Bond
48,11,2024-01-03,SELL,1347,119.36,ETF
49,2,2024-01-03,SELL,4326,47.77,Equity
50,15,2024-01-03,BUY,3295,277.58,Currency
51,9,2024-01-03,BUY,818,190.01,Equity
52,2,2024-01-03,SELL,938,47.66,Equity
53,5,2024-01-03,BUY,2165,305.63,Equity
54,5,2024-01-03,SELL,2994,307.05,Equity
55,7,2024-01-03,SELL,1786,359.62,Equity
56,11,2024-01-03,BUY,3644,119.13,ETF
57,12,2024-01-03,SELL,2170,220.55,Bond
58,15,2024-01-03,BUY,3367,276.9,Currency
59,5,2024-01-04,SELL,448,315.46,Equity
60,8,2024-01-04,BUY,1583,72.65,Equity
61,15,2024-01-04,BUY,753,278.02,Currency
62,7,2024-01-04,BUY,3790,351.59,Equity
63,2,2024-01-04,BUY,311,47.82,Equity
64,11,2024-01-04,BUY,3712,118.25,ETF
65,4,2024-01-04,BUY,4289,122.76,Equity
66,11,2024-01-04,BUY,3737,118.21,ETF
67,4,2024-01-04,SELL,3861,122.72,Equity
68,6,2024-01-04,SELL,2136,264.98,Equity
69,2,2024-01-04,BUY,2608,47.87,Equity
70,3,2024-01-04,SELL,478,133.74,Equity
71,14,2024-01-04,SELL,4539,111.26,Commodity
72,3,2024-01-04,SELL,625,133.27,Equity
73,14,2024-01-04,SELL,1695,110.9,Commodity
74,12,2024-01-04,BUY,2491,222.31,Bond
75,12,2024-01-04,BUY,1010,221.37,Bond
76,8,2024-01-04,SELL,2399,72.83,Equity
77,7,2024-01-04,BUY,2260,353.46,Equity
78,9,2024-01-04,BUY,1049,187.86,Equity
79,14,2024-01-04,BUY,3495,111.31,Commodity
80,15,2024-01-04,SELL,1044,277.7,Currency
81,13,2024-01-04,BUY,3472,48.86,Commodity
82,5,2024-01-04,SELL,459,314.86,Equity
83,13,2024-01-04,SELL,811,48.78,Commodity
84,6,2024-01-04,BUY,1960,265.41,Equity
85,12,2024-01-04,SELL,3212,221.46,Bond
86,2,2024-01-04,SELL,2358,47.91,Equity
87,6,2024-01-04,BUY,1923,265.12,Equity
88,7,2024-01-04,SELL,4765,353.21,Equity
89,7,2024-01-05,BUY,2660,350.4,Equity
90,5,2024-01-05,BUY,797,319.02,Equity
91,4,2024-01-05,SELL,863,124.95,Equity
